State,County,Total_Accidents,Night_Accidents,Winter_Accidents,Night_Proportion,Winter_Proportion
WA,Lincoln,56,15,3,0.26785714285714285,0.05357142857142857
OH,Allen,290,82,19,0.2827586206896552,0.06551724137931035
NJ,Monmouth,6132,1993,129,0.3250163078930202,0.021037181996086105
OR,Clatsop,3489,1222,29,0.35024362281456006,0.00831183720263686
GA,Barrow,451,125,0,0.2771618625277162,0.0
IA,Clinton,166,51,9,0.3072289156626506,0.05421686746987952
TX,Burleson,5,0,0,0.0,0.0
NY,Sullivan,404,82,15,0.20297029702970298,0.03712871287128713
OH,Hocking,96,32,6,0.3333333333333333,0.0625
NY,Suffolk,21828,4998,249,0.22897196261682243,0.011407366684991753
WA,Kittitas,530,269,89,0.5075471698113208,0.16792452830188678
NY,Bronx,27308,9701,130,0.35524388457594847,0.0047605097407353155
CA,Merced,12659,5042,0,0.39829370408405085,0.0
IA,Buchanan,128,52,21,0.40625,0.1640625
OH,Pickaway,342,116,8,0.3391812865497076,0.023391812865497075
CA,El Dorado,11255,4135,254,0.3673922701021768,0.022567747667703243
SC,Edgefield,1046,330,0,0.3154875717017208,0.0
IL,Champaign,502,164,44,0.32669322709163345,0.08764940239043825
WA,Lewis,1092,370,1,0.33882783882783885,0.0009157509157509158
GA,Gwinnett,8424,2828,4,0.335707502374169,0.0004748338081671415
SC,Laurens,6209,2082,24,0.335319697213722,0.0038653567402158156
IA,Marion,62,18,3,0.2903225806451613,0.04838709677419355
IL,Mchenry,149,44,6,0.2953020134228188,0.040268456375838924
MD,Prince Georges,352,135,1,0.3835227272727273,0.002840909090909091
FL,Hendry,568,224,0,0.39436619718309857,0.0
GA,Greene,384,127,0,0.3307291666666667,0.0
IA,Decatur,91,34,13,0.37362637362637363,0.14285714285714285
IL,Madison,1409,454,23,0.3222143364088006,0.016323633782824698
IL,Sangamon,562,174,41,0.3096085409252669,0.07295373665480427
NY,Nassau,23325,6028,203,0.2584351554126474,0.008703108252947482
PA,Berks,5422,1911,169,0.3524529693839911,0.03116931021763187
WA,Douglas,37,9,1,0.24324324324324326,0.02702702702702703
GA,DeKalb,21807,7298,10,0.3346631815472096,0.00045856834961250975
MA,Suffolk,13258,3235,185,0.244003620455574,0.013953839191431588
GA,Houston,1198,393,0,0.3280467445742905,0.0
IL,Jasper,6,4,0,0.6666666666666666,0.0
MI,Antrim,29,10,5,0.3448275862068966,0.1724137931034483
NJ,Essex,16997,4759,171,0.2799905865741013,0.010060598929222803
MD,Calvert,223,84,1,0.37668161434977576,0.004484304932735426
TX,Hill,120,20,0,0.16666666666666666,0.0
WA,King,56932,19588,436,0.3440595798496452,0.007658258975620038
GA,Walton,679,275,2,0.4050073637702504,0.0029455081001472753
FL,Pasco,19951,5867,0,0.2940704726580121,0.0
PA,Carbon,723,241,62,0.3333333333333333,0.08575380359612725
TX,Brazoria,1009,336,0,0.3330029732408325,0.0
TX,Colorado,71,22,0,0.30985915492957744,0.0
WA,Mason,743,283,19,0.38088829071332436,0.02557200538358008
GA,Twiggs,326,101,0,0.3098159509202454,0.0
IN,Gibson,187,57,2,0.3048128342245989,0.0106951871657754
OH,Union,451,122,4,0.270509977827051,0.008869179600886918
TX,Austin,65,20,0,0.3076923076923077,0.0
GA,Richmond,13300,2902,6,0.2181954887218045,0.0004511278195488722
GA,Berrien,46,10,0,0.21739130434782608,0.0
OH,Morgan,16,3,0,0.1875,0.0
WA,Island,353,96,1,0.2719546742209632,0.0028328611898017
IA,Dallas,971,354,80,0.364572605561277,0.082389289392379
MO,Saint Louis,187,48,2,0.25668449197860965,0.0106951871657754
TX,Comal,665,209,0,0.3142857142857143,0.0
CA,Contra Costa,51338,18366,0,0.3577466983520979,0.0
GA,Forsyth,515,137,0,0.26601941747572816,0.0
MO,Saint Louis City,37,12,0,0.32432432432432434,0.0
MI,Saint Joseph,61,14,1,0.22950819672131148,0.01639344262295082
VA,Alexandria,3477,1130,17,0.3249928098935864,0.004889272361230946
MD,Montgomery,22565,7152,201,0.31695103035674715,0.008907600265898515
OH,Franklin,23688,6650,985,0.28073286052009455,0.0415822357311719
CA,Santa Cruz,14618,4805,0,0.3287043371186209,0.0
GA,Dawson,130,28,0,0.2153846153846154,0.0
GA,McIntosh,282,98,0,0.3475177304964539,0.0
MI,Wexford,24,8,8,0.3333333333333333,0.3333333333333333
GA,Evans,39,19,0,0.48717948717948717,0.0
OH,Crawford,30,12,6,0.4,0.2
FL,Highlands,2060,768,0,0.37281553398058254,0.0
GA,Pike,172,41,0,0.23837209302325582,0.0
RI,Washington,718,140,19,0.19498607242339833,0.026462395543175487
OH,Henry,91,16,3,0.17582417582417584,0.03296703296703297
IL,Boone,304,132,28,0.4342105263157895,0.09210526315789473
NJ,Passaic,6104,1551,82,0.2540956749672346,0.013433813892529489
MD,Baltimore,4091,1627,52,0.39770227328281593,0.012710828648252261
CA,Monterey,19097,6534,0,0.3421479813583285,0.0
NJ,Hudson,11624,3529,73,0.303596008258775,0.0062801101169993115
NJ,Somerset,3169,844,56,0.2663300725781004,0.017671189649731776
DE,Kent,1087,336,7,0.3091076356945722,0.006439742410303588
GA,Fayette,516,148,1,0.2868217054263566,0.001937984496124031
GA,Bleckley,89,34,0,0.38202247191011235,0.0
IL,Cumberland,68,27,2,0.39705882352941174,0.029411764705882353
MI,Cass,233,81,14,0.34763948497854075,0.060085836909871244
TX,Madison,16,3,0,0.1875,0.0
CA,Calaveras,3664,1264,0,0.34497816593886466,0.0
CA,San Diego,104165,32508,35,0.31208179330869296,0.00033600537608601737
FL,Okeechobee,220,82,0,0.37272727272727274,0.0
SC,McCormick,409,138,0,0.3374083129584352,0.0
GA,Dodge,58,18,0,0.3103448275862069,0.0
IA,Sac,49,20,6,0.40816326530612246,0.12244897959183673
IL,Peoria,368,126,24,0.3423913043478261,0.06521739130434782
CT,Middlesex,2726,685,48,0.2512839325018342,0.01760821716801174
MD,Harford,6802,2393,81,0.351808291678918,0.011908262275801235
IA,Hardin,85,30,8,0.35294117647058826,0.09411764705882353
IL,Rock Island,195,40,8,0.20512820512820512,0.041025641025641026
IL,La Salle,74,18,1,0.24324324324324326,0.013513513513513514
NJ,Warren,2783,777,173,0.279195113187208,0.062163133309378366
VA,Shenandoah,3027,976,74,0.32243145028080605,0.024446646845061117
FL,Hillsborough,52623,14408,0,0.27379662885050265,0.0
IA,Monroe,18,10,2,0.5555555555555556,0.1111111111111111
MI,Grand Traverse,76,19,14,0.25,0.18421052631578946
NY,Otsego,152,58,20,0.3815789473684211,0.13157894736842105
MA,Worcester,4269,944,200,0.22112907003982196,0.04684937924572499
KY,Bracken,11,6,0,0.5454545454545454,0.0
VA,Warren,962,312,42,0.32432432432432434,0.04365904365904366
IA,Woodbury,499,166,38,0.33266533066132264,0.07615230460921844
MO,Saint Charles,28,2,0,0.07142857142857142,0.0
MD,Charles,2037,655,3,0.32155130093274426,0.0014727540500736377
TX,Bell,387,83,0,0.2144702842377261,0.0
TX,McLennan,485,124,3,0.2556701030927835,0.006185567010309278
FL,Marion,13890,4046,0,0.29128869690424763,0.0
GA,Coweta,1939,584,0,0.3011861784424961,0.0
IA,Montgomery,8,0,0,0.0,0.0
IL,Lake,33563,6759,1553,0.20138247474897952,0.04627119149062956
OH,Huron,90,34,8,0.37777777777777777,0.08888888888888889
CA,Los Angeles,526851,183773,45,0.3488139910524987,8.541314337450247e-05
SC,Lexington,24478,6641,55,0.2713048451670888,0.002246915597679549
PA,Butler,997,349,95,0.35005015045135407,0.09528585757271815
MD,Cecil,2482,928,32,0.37389202256244963,0.0128928283642224
GA,Randolph,33,9,0,0.2727272727272727,0.0
NJ,Cape May,957,305,29,0.3187042842215256,0.030303030303030304
TX,Harris,180905,47176,34,0.2607777562809209,0.00018794394848124706
TX,Williamson,6244,1666,5,0.26681614349775784,0.0008007687379884689
TX,Wharton,50,18,0,0.36,0.0
WA,Spokane,4742,1264,254,0.26655419654154366,0.05356389708983551
GA,Jackson,1452,491,1,0.3381542699724518,0.0006887052341597796
IL,Wabash,4,2,0,0.5,0.0
NY,Westchester,38224,9678,567,0.25319171201339474,0.01483361239012139
TX,Anderson,44,3,0,0.06818181818181818,0.0
WA,Cowlitz,1114,383,57,0.34380610412926393,0.05116696588868941
FL,Collier,4656,1388,0,0.2981099656357388,0.0
SC,Saluda,1199,420,1,0.3502919099249375,0.0008340283569641367
GA,Long,46,15,0,0.32608695652173914,0.0
GA,Webster,34,24,0,0.7058823529411765,0.0
OH,Auglaize,167,70,7,0.41916167664670656,0.041916167664670656
GA,Bryan,525,159,2,0.3028571428571429,0.0038095238095238095
PA,Washington,2257,879,118,0.3894550287992911,0.052281789986708016
WV,Putnam,864,332,47,0.38425925925925924,0.05439814814814815
GA,Baldwin,171,62,0,0.36257309941520466,0.0
GA,Paulding,177,51,2,0.288135593220339,0.011299435028248588
GA,Chattooga,127,70,0,0.5511811023622047,0.0
IL,Livingston,127,36,16,0.28346456692913385,0.12598425196850394
MI,Jackson,1843,571,177,0.3098209441128595,0.09603906673901248
SC,Anderson,22805,6460,22,0.28327121245340936,0.0009647007235255426
SC,Mccormick,49,14,0,0.2857142857142857,0.0
MO,St. Louis County,16924,4251,527,0.2511817537225242,0.031139210588513353
PA,Bedford,2214,747,98,0.33739837398373984,0.044263775971093045
OH,Greene,1096,334,43,0.30474452554744524,0.03923357664233577
OH,Wood,1096,277,77,0.2527372262773723,0.07025547445255474
CA,San Bernardino,109631,41185,32,0.37566929062035376,0.0002918882432888508
GA,Upson,99,35,0,0.35353535353535354,0.0
IL,Logan,173,63,13,0.36416184971098264,0.07514450867052024
OH,Ashland,174,45,15,0.25862068965517243,0.08620689655172414
OH,Holmes,72,15,3,0.20833333333333334,0.041666666666666664
CA,Solano,22198,8582,2,0.386611406433012,9.009820704567979e-05
FL,Palm Beach,30931,8054,0,0.2603860204972358,0.0
FL,Citrus,2037,688,2,0.33775159548355427,0.0009818360333824251
IA,Franklin,93,34,1,0.3655913978494624,0.010752688172043012
MI,Oakland,16953,5178,1414,0.3054326667846399,0.08340706659588273
MI,Berrien,1739,598,338,0.3438757906843013,0.19436457734330076
PA,Westmoreland,6165,2311,261,0.3748580697485807,0.042335766423357665
WA,Stevens,133,35,5,0.2631578947368421,0.03759398496240601
IA,Poweshiek,381,142,48,0.37270341207349084,0.12598425196850394
OH,Athens,96,37,17,0.3854166666666667,0.17708333333333334
MD,Kent,328,89,2,0.27134146341463417,0.006097560975609756
GA,Washington,22,10,0,0.45454545454545453,0.0
IA,Pottawattamie,2061,659,112,0.3197476952935468,0.054342552159146046
PA,Adams,2759,1075,44,0.3896339253352664,0.01594780717651323
FL,Orange,124321,31801,0,0.2557974919764159,0.0
IN,Lake,6300,2103,414,0.33380952380952383,0.06571428571428571
MI,Wayne,40273,14896,2132,0.36987559903657535,0.05293869341742607
CT,Hartford,18214,5410,319,0.2970242670473262,0.01751400021961129
TX,Navarro,88,30,0,0.3409090909090909,0.0
IA,Hamilton,377,175,42,0.46419098143236076,0.11140583554376658
IA,Henry,74,16,4,0.21621621621621623,0.05405405405405406
IA,Fremont,160,68,1,0.425,0.00625
NJ,Union,12214,3627,117,0.2969543147208122,0.009579171442606844
VA,Page,674,230,3,0.34124629080118696,0.004451038575667656
TX,Lampasas,15,1,0,0.06666666666666667,0.0
CA,Mendocino,6993,2763,27,0.39510939510939513,0.003861003861003861
NJ,Salem,804,251,14,0.31218905472636815,0.017412935323383085
TX,Fort Bend,2407,717,2,0.2978811798919817,0.0008309098462816784
TX,Brazos,61,16,0,0.26229508196721313,0.0
WV,Preston,252,103,38,0.4087301587301587,0.15079365079365079
IL,Will,5902,1715,234,0.29057946458827516,0.039647577092511016
IL,McLean,382,130,42,0.3403141361256545,0.1099476439790576
MA,Barnstable,1198,145,19,0.12103505843071787,0.015859766277128547
MD,Baltimore County,18283,6136,190,0.335612317453372,0.01039216758737625
MD,Talbot,1179,342,43,0.2900763358778626,0.0364715860899067
FL,Levy,852,365,0,0.4284037558685446,0.0
TX,Mclennan,30,5,0,0.16666666666666666,0.0
WA,Kitsap,1516,541,20,0.35686015831134565,0.013192612137203167
CA,Sonoma,25435,8650,3,0.340082563396894,0.00011794770984863377
NJ,Morris,6002,1497,156,0.24941686104631788,0.02599133622125958
CA,Napa,8032,2600,0,0.3237051792828685,0.0
FL,De Soto,37,13,0,0.35135135135135137,0.0
SC,Barnwell,782,368,0,0.47058823529411764,0.0
PA,York,20032,6382,502,0.3185902555910543,0.025059904153354632
FL,Polk,7451,2285,0,0.3066702456046168,0.0
FL,DeSoto,398,168,0,0.4221105527638191,0.0
GA,Henry,4050,1313,1,0.32419753086419756,0.0002469135802469136
GA,Johnson,8,4,0,0.5,0.0
IA,Madison,41,18,3,0.43902439024390244,0.07317073170731707
IL,Kendall,138,33,4,0.2391304347826087,0.028985507246376812
PA,Union,1507,610,27,0.404777704047777,0.017916390179163903
WA,Clallam,394,123,4,0.31218274111675126,0.01015228426395939
FL,Brevard,12934,3445,0,0.2663522498840266,0.0
FL,Sarasota,20675,4731,0,0.22882708585247885,0.0
CT,New London,2784,856,55,0.3074712643678161,0.019755747126436782
OH,Warren,1536,516,73,0.3359375,0.047526041666666664
NY,Albany,13855,3870,1067,0.27932154456874775,0.07701190905810176
MA,Hampden,954,224,50,0.2348008385744235,0.05241090146750524
FL,Putnam,1400,577,0,0.41214285714285714,0.0
SC,Abbeville,1143,455,1,0.39807524059492566,0.0008748906386701663
IA,Benton,166,46,12,0.27710843373493976,0.07228915662650602
NY,Orange,6797,1931,262,0.2840959246726497,0.03854641753714874
MD,Washington,4848,1481,119,0.305486798679868,0.024546204620462045
OH,Montgomery,27021,7152,695,0.2646830243144221,0.025720735724066468
GA,Appling,36,5,0,0.1388888888888889,0.0
MA,Middlesex,19577,3955,439,0.20202278183582775,0.022424273382029934
MD,Baltimore City,8768,2427,65,0.27680200729927007,0.007413321167883211
SC,Newberry,3991,1190,7,0.2981708844901027,0.0017539463793535455
GA,Peach,650,203,0,0.3123076923076923,0.0
GA,Taylor,70,29,0,0.4142857142857143,0.0
NE,Sarpy,5395,1012,192,0.18758109360518999,0.0355885078776645
IA,Story,857,277,70,0.323220536756126,0.08168028004667445
IL,Ford,31,4,0,0.12903225806451613,0.0
NY,Ulster,3088,1105,151,0.35783678756476683,0.04889896373056995
MD,Caroline,908,249,13,0.27422907488986786,0.014317180616740088
TX,Palo Pinto,62,15,0,0.24193548387096775,0.0
NY,Saratoga,7303,2273,459,0.3112419553608106,0.06285088319868547
VA,Manassas City,8,2,0,0.25,0.0
WA,Thurston,2557,941,74,0.36800938599921784,0.02894016425498631
GA,Jones,65,20,0,0.3076923076923077,0.0
GA,Franklin,443,119,1,0.2686230248306998,0.002257336343115124
IN,Elkhart,349,119,15,0.34097421203438394,0.04297994269340974
IA,Johnson,2006,659,155,0.3285144566301097,0.07726819541375872
MA,Essex,7160,1791,184,0.25013966480446925,0.02569832402234637
MD,Frederick,13056,3712,297,0.28431372549019607,0.02274816176470588
WA,Franklin,52,26,0,0.5,0.0
OH,Cuyahoga,14622,4420,1188,0.30228422924360554,0.08124743537135823
GA,Bartow,1416,490,1,0.346045197740113,0.0007062146892655367
CA,Sutter,3171,1269,5,0.4001892147587512,0.001576789656259855
GA,Wilkes,94,23,0,0.24468085106382978,0.0
GA,Habersham,268,85,0,0.31716417910447764,0.0
NM,Bernalillo,7208,1018,34,0.14123196448390676,0.0047169811320754715
MS,Hinds,4213,1024,7,0.24305720389271304,0.001661523854735343
VA,Fredericksburg,1227,342,2,0.2787286063569682,0.0016299918500407497
AR,Saline,1021,322,1,0.31537708129285014,0.0009794319294809011
MO,Harrison,28,8,1,0.2857142857142857,0.03571428571428571
MN,Brown,387,200,24,0.5167958656330749,0.06201550387596899
IL,Stephenson,15,4,0,0.26666666666666666,0.0
AZ,Maricopa,106737,30543,2,0.2861519435622137,1.8737644865416864e-05
VA,Campbell,966,301,3,0.3115942028985507,0.003105590062111801
MN,Isanti,554,230,65,0.4151624548736462,0.11732851985559567
VA,Pittsylvania,924,343,5,0.3712121212121212,0.005411255411255411
MO,Phelps,178,52,6,0.29213483146067415,0.033707865168539325
VA,Tazewell,213,65,4,0.3051643192488263,0.018779342723004695
MO,Jackson,23414,7498,1005,0.32023575638506874,0.04292303749893226
TN,Sullivan,529,177,4,0.33459357277882795,0.007561436672967864
VA,Nelson,497,107,8,0.2152917505030181,0.01609657947686117
MO,Lawrence,119,39,14,0.3277310924369748,0.11764705882352941
IA,Kossuth,15,1,1,0.06666666666666667,0.06666666666666667
TN,Robertson,945,338,8,0.3576719576719577,0.008465608465608466
VA,Scott,185,65,2,0.35135135135135137,0.010810810810810811
OH,Defiance,37,11,0,0.2972972972972973,0.0
VA,Northampton,315,93,0,0.29523809523809524,0.0
VA,Covington,42,6,0,0.14285714285714285,0.0
OH,Coshocton,18,9,0,0.5,0.0
VT,Bennington,57,16,11,0.2807017543859649,0.19298245614035087
SC,Spartanburg,39581,10546,126,0.26644096915186577,0.00318334554457947
NJ,Ocean,3998,1364,81,0.3411705852926463,0.020260130065032515
UT,Beaver,730,285,90,0.3904109589041096,0.1232876712328767
IL,Pulaski,21,4,1,0.19047619047619047,0.047619047619047616
CA,Madera,8477,3091,0,0.36463371475757933,0.0
WI,Sauk,288,78,34,0.2708333333333333,0.11805555555555555
UT,Iron,2340,675,219,0.28846153846153844,0.09358974358974359
MN,Freeborn,2005,1009,393,0.5032418952618454,0.19600997506234413
TN,Bedford,56,16,0,0.2857142857142857,0.0
PA,Crawford,264,86,36,0.32575757575757575,0.13636363636363635
IL,Adams,23,7,0,0.30434782608695654,0.0
CO,Pitkin,161,26,16,0.16149068322981366,0.09937888198757763
KY,Grayson,15,8,0,0.5333333333333333,0.0
PA,Columbia,1961,620,74,0.3161652218255992,0.03773584905660377
TN,Polk,79,26,0,0.3291139240506329,0.0
OH,Van Wert,66,22,10,0.3333333333333333,0.15151515151515152
NH,Strafford,477,150,49,0.31446540880503143,0.10272536687631027
VT,Washington,70,10,3,0.14285714285714285,0.04285714285714286
KY,Anderson,8,2,0,0.25,0.0
IN,Warrick,109,25,0,0.22935779816513763,0.0
IN,Vigo,380,106,19,0.2789473684210526,0.05
GA,Macon-Bibb County,987,240,0,0.24316109422492402,0.0
ME,Aroostook,49,10,8,0.20408163265306123,0.16326530612244897
TN,Hickman,254,96,0,0.3779527559055118,0.0
TN,Fayette,218,72,1,0.3302752293577982,0.0045871559633027525
NY,Wayne,80,27,14,0.3375,0.175
IA,Fayette,44,6,0,0.13636363636363635,0.0
NC,Jackson,409,108,3,0.26405867970660146,0.007334963325183374
PA,Erie,1340,598,233,0.4462686567164179,0.17388059701492536
KY,McCreary,16,0,0,0.0,0.0
AL,Montgomery,11322,2563,1,0.22637343225578518,8.832361773538245e-05
TN,Wilson,770,250,15,0.3246753246753247,0.01948051948051948
AL,Sumter,294,96,1,0.32653061224489793,0.003401360544217687
TX,Kendall,71,17,0,0.23943661971830985,0.0
SC,Berkeley,13517,4801,5,0.3551823629503588,0.00036990456462232746
CO,Pueblo,2248,876,150,0.3896797153024911,0.06672597864768683
FL,Bay,3565,1172,0,0.3287517531556802,0.0
AL,Dallas,223,71,0,0.3183856502242152,0.0
VA,Smyth,827,260,23,0.3143893591293833,0.02781136638452237
NM,Sierra,72,24,0,0.3333333333333333,0.0
FL,Baker,1337,467,0,0.3492894540014959,0.0
TN,Maury,214,75,0,0.35046728971962615,0.0
IN,Vanderburgh,497,225,2,0.45271629778672035,0.004024144869215292
VA,Winchester (City),37,6,0,0.16216216216216217,0.0
NC,Yancey,56,9,0,0.16071428571428573,0.0
NC,Cleveland,451,163,3,0.3614190687361419,0.0066518847006651885
PA,Warren,142,61,19,0.4295774647887324,0.13380281690140844
CA,Kern,37614,15345,48,0.407959802201308,0.001276120593396076
VA,Newport News,3636,1118,5,0.30748074807480746,0.0013751375137513752
VA,Southampton,400,100,4,0.25,0.01
NC,Watauga,107,27,7,0.2523364485981308,0.06542056074766354
NM,Hidalgo,81,26,0,0.32098765432098764,0.0
ND,Williams,96,24,0,0.25,0.0
VA,Hanover,4342,1143,49,0.2632427452786734,0.011285122063565177
IN,Scott,285,145,6,0.5087719298245614,0.021052631578947368
CO,Clear Creek,1826,592,331,0.32420591456736036,0.18127053669222343
CT,Lower Connecticut River Valley,715,208,14,0.2909090909090909,0.019580419580419582
SC,Bamberg,586,268,0,0.45733788395904434,0.0
MN,Carlton,1543,802,342,0.5197666882696047,0.22164614387556708
OR,Wasco,3803,1631,356,0.4288719432027347,0.0936103076518538
AZ,Greenlee,146,61,0,0.4178082191780822,0.0
MN,Beltrami,691,319,120,0.46164978292329956,0.1736613603473227
NY,Chenango,72,21,6,0.2916666666666667,0.08333333333333333
OK,Mayes,21,11,0,0.5238095238095238,0.0
MI,St Joseph,20,2,0,0.1,0.0
TX,Midland,143,57,0,0.3986013986013986,0.0
VA,Falls Church City,5,1,0,0.2,0.0
IL,Lee,161,66,8,0.40993788819875776,0.049689440993788817
SC,Georgetown,3370,903,3,0.2679525222551929,0.0008902077151335311
SC,Orangeburg,9839,3263,2,0.33163939424738287,0.0002032726903140563
WI,Columbia,602,193,53,0.32059800664451826,0.08803986710963455
AR,Benton,1035,308,31,0.2975845410628019,0.02995169082125604
NM,Lea,143,25,1,0.17482517482517482,0.006993006993006993
OR,Hood River,1633,540,27,0.3306797305572566,0.01653398652786283
MN,Blue Earth,2155,979,322,0.454292343387471,0.1494199535962877
TN,Washington,3827,777,49,0.20303109485236479,0.012803762738437419
NM,Torrance,125,44,19,0.352,0.152
WI,St. Croix,473,169,61,0.3572938689217759,0.12896405919661733
VA,Grayson,73,18,1,0.2465753424657534,0.0136986301369863
MO,Scott,46,14,0,0.30434782608695654,0.0
TN,Rhea,81,22,0,0.2716049382716049,0.0
WI,Manitowoc,95,24,13,0.25263157894736843,0.1368421052631579
TX,Howard,71,36,0,0.5070422535211268,0.0
CT,Capitol,3790,1391,88,0.3670184696569921,0.02321899736147757
AL,Autauga,1322,341,0,0.2579425113464448,0.0
NM,McKinley,432,180,64,0.4166666666666667,0.14814814814814814
VA,Prince George,1053,364,1,0.345679012345679,0.000949667616334283
MS,Yazoo,60,19,1,0.31666666666666665,0.016666666666666666
MO,Holt,52,17,3,0.3269230769230769,0.057692307692307696
AZ,Mohave,2937,1141,21,0.3884916581545795,0.007150153217568948
AZ,Pinal,4140,1526,0,0.3685990338164251,0.0
VT,Windsor,133,35,16,0.2631578947368421,0.12030075187969924
MS,Pearl River,147,31,2,0.2108843537414966,0.013605442176870748
IN,Monroe,230,90,3,0.391304347826087,0.013043478260869565
IN,Delaware,512,166,21,0.32421875,0.041015625
IN,Carroll,28,19,0,0.6785714285714286,0.0
TX,Ector,135,70,0,0.5185185185185185,0.0
AL,Bibb,120,40,0,0.3333333333333333,0.0
IN,White,224,134,33,0.5982142857142857,0.14732142857142858
MN,Houston,353,159,29,0.45042492917847027,0.0821529745042493
IA,Jackson,49,17,6,0.3469387755102041,0.12244897959183673
IA,Lyon,20,6,3,0.3,0.15
LA,De Soto,32,13,0,0.40625,0.0
AL,Chambers,204,48,0,0.23529411764705882,0.0
VA,Stafford,6979,2059,31,0.2950279409657544,0.004441897119931222
WI,Marquette,54,13,11,0.24074074074074073,0.2037037037037037
NV,Carson City (City),134,57,14,0.4253731343283582,0.1044776119402985
NC,Caldwell,267,91,0,0.3408239700374532,0.0
IA,Wright,46,14,1,0.30434782608695654,0.021739130434782608
AR,Clark,352,99,0,0.28125,0.0
PA,Jefferson,1579,543,184,0.34388853704876504,0.11652944901836605
NY,Montgomery,1139,453,128,0.3977172958735733,0.11237928007023705
KS,Miami,70,14,3,0.2,0.04285714285714286
UT,San Juan,766,252,0,0.3289817232375979,0.0
NC,Northampton,287,95,1,0.3310104529616725,0.003484320557491289
MO,Cape Girardeau,63,32,0,0.5079365079365079,0.0
CO,Adams,12825,3820,563,0.29785575048732943,0.04389863547758285
KY,Jefferson,16672,4689,230,0.28125,0.013795585412667946
VA,Amherst,446,154,6,0.3452914798206278,0.013452914798206279
FL,Santa Rosa,5704,2027,0,0.3553646563814867,0.0
FL,Madison,1139,493,1,0.43283582089552236,0.000877963125548727
WI,Fond du Lac,330,90,48,0.2727272727272727,0.14545454545454545
MD,Somerset,216,54,3,0.25,0.013888888888888888
CA,Del Norte,1923,776,10,0.4035361414456578,0.005200208008320333
TX,Oldham,34,20,1,0.5882352941176471,0.029411764705882353
NC,Wake,117890,30375,241,0.2576554415132751,0.0020442785647637627
CO,Lincoln,238,76,12,0.31932773109243695,0.05042016806722689
GA,Glynn,515,200,0,0.3883495145631068,0.0
NM,Sandoval,146,53,2,0.363013698630137,0.0136986301369863
NC,Alleghany,39,6,0,0.15384615384615385,0.0
VA,Mathews,110,27,0,0.24545454545454545,0.0
MO,Christian,91,21,1,0.23076923076923078,0.01098901098901099
AL,Hale,64,19,0,0.296875,0.0
LA,Lincoln,44,19,0,0.4318181818181818,0.0
OR,Grant,1413,613,83,0.4338287331917905,0.05874026893135174
GA,Taliaferro,102,21,0,0.20588235294117646,0.0
SC,Dillon,3039,1163,25,0.38269167489305694,0.008226390259953932
AZ,Cochise,525,205,1,0.3904761904761905,0.0019047619047619048
TX,Carson,25,12,0,0.48,0.0
TN,Anderson,359,107,0,0.298050139275766,0.0
PA,Cameron,125,44,9,0.352,0.072
MS,Lincoln,91,22,0,0.24175824175824176,0.0
MS,Itawamba,45,6,1,0.13333333333333333,0.022222222222222223
GA,Wheeler,51,20,0,0.39215686274509803,0.0
OK,Cleveland,3361,756,9,0.22493305563820293,0.002677774471883368
OK,Okmulgee,48,14,0,0.2916666666666667,0.0
IN,Spencer,320,145,21,0.453125,0.065625
ME,Sagadahoc,78,15,4,0.19230769230769232,0.05128205128205128
FL,Gilchrist,381,182,0,0.4776902887139108,0.0
TN,Smith,237,95,0,0.4008438818565401,0.0
GA,Chattahoochee,46,21,0,0.45652173913043476,0.0
GA,Dade,383,80,1,0.20887728459530025,0.0026109660574412533
NM,Santa Fe,197,65,8,0.3299492385786802,0.04060913705583756
NV,White Pine,283,84,27,0.2968197879858657,0.09540636042402827
OK,Noble,8,6,0,0.75,0.0
NC,Duplin,390,148,6,0.37948717948717947,0.015384615384615385
CA,Imperial,228,97,0,0.42543859649122806,0.0
KS,Reno,15,9,0,0.6,0.0
TN,Davidson,95325,24739,555,0.25952268554943614,0.005822187254130606
MN,Meeker,752,397,39,0.5279255319148937,0.05186170212765957
WI,Marathon,342,95,60,0.2777777777777778,0.17543859649122806
FL,Clay,3790,1109,0,0.2926121372031662,0.0
WI,Jefferson,336,93,33,0.2767857142857143,0.09821428571428571
NE,Madison,11,3,0,0.2727272727272727,0.0
NE,Dawson,86,33,16,0.38372093023255816,0.18604651162790697
KY,Jessamine,33,7,0,0.21212121212121213,0.0
VA,Dickenson,74,41,3,0.5540540540540541,0.04054054054054054
VA,Emporia,140,49,1,0.35,0.007142857142857143
CO,Denver,21163,5711,965,0.26985777063743327,0.04559845012521854
MN,Sherburne,2639,1063,232,0.40280409245926485,0.08791208791208792
IN,Boone,2081,579,116,0.2782316194137434,0.0557424315233061
UT,Summit,3443,1372,9,0.3984896892245135,0.00261399941911124
TN,Greene,363,149,5,0.41046831955922863,0.013774104683195593
VA,Northumberland,403,133,0,0.33002481389578164,0.0
IN,Howard,354,88,25,0.24858757062146894,0.07062146892655367
NE,Cedar,12,3,3,0.25,0.25
VA,Cumberland,143,52,0,0.36363636363636365,0.0
CO,Costilla,110,19,7,0.17272727272727273,0.06363636363636363
AZ,La Paz,1196,561,0,0.4690635451505017,0.0
NM,Doña Ana,151,57,6,0.37748344370860926,0.039735099337748346
NY,Allegany,105,40,13,0.38095238095238093,0.12380952380952381
